,NEWCollabToolsWorkedWith,Confluence,Jira,Slack,Microsoft Azure,Trello,Github,Gitlab,"Google Suite (Docs, Meet, etc)",Microsoft Teams,Stack Overflow for Teams,Facebook Workplace
200,,0,0,0,0,0,0,0,0,0,0,0
201,Confluence;Github;Gitlab;Stack Overflow for Teams,1,0,0,0,0,1,1,0,0,1,0
202,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
203,Github;Slack;Microsoft Teams;Microsoft Azure,0,0,1,1,0,1,0,0,1,0,0
204,Github;Gitlab,0,0,0,0,0,1,1,0,0,0,0
205,"Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,1,1,0,1,1,0,1,0,0,0
206,Jira;Github;Gitlab;Microsoft Teams,0,1,0,0,0,1,1,0,1,0,0
207,Github;Gitlab;Trello,0,0,0,0,1,1,1,0,0,0,0
208,"Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",1,1,1,0,1,1,1,1,0,0,0
209,"Gitlab;Google Suite (Docs, Meet, etc)",0,0,0,0,0,0,1,1,0,0,0
210,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,0,1,0,0,0
211,"Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",1,1,1,0,1,1,1,1,0,0,0
212,"Github;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",0,0,1,1,1,1,0,1,1,0,0
213,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,0,1,0,0,0
214,Confluence;Jira;Gitlab;Trello,1,1,0,0,1,0,1,0,0,0,0
215,Confluence;Jira;Github;Gitlab;Slack,1,1,1,0,0,1,1,0,0,0,0
216,"Confluence;Jira;Github;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",1,1,1,1,1,1,0,1,0,0,0
217,"Github;Slack;Google Suite (Docs, Meet, etc)",0,0,1,0,0,1,0,1,0,0,0
218,Github;Gitlab;Slack,0,0,1,0,0,1,1,0,0,0,0
219,"Jira;Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",0,1,1,1,1,1,1,1,1,0,0
220,"Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,1,1,0,1,1,0,1,0,0,0
221,"Confluence;Jira;Gitlab;Microsoft Teams;Google Suite (Docs, Meet, etc)",1,1,0,0,0,0,1,1,1,0,0
222,Confluence;Jira;Github;Microsoft Teams;Trello,1,1,0,0,1,1,0,0,1,0,0
223,Github;Slack;Trello,0,0,1,0,1,1,0,0,0,0,0
224,"Github;Gitlab;Facebook Workplace;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",0,0,1,1,0,1,1,1,1,0,1
225,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
226,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
227,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,1,1,0,0,0
228,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
