,MiscTechWorkedWith,.NET,.NET Core,React Native,Ansible,Pandas,Node.js,Unity 3D,TensorFlow,Torch/PyTorch,Teraform,Unreal Engine,Hadoop,Flutter,Cordova,Xamarin,Keras,Chef,Apache Spark,Puppet
195,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Ansible;Teraform,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
198,.NET;.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Cordova;Node.js,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
200,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,.NET;.NET Core;Node.js,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Chef;Puppet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
203,.NET;.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Flutter;Node.js,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
205,Node.js;Puppet;TensorFlow;Torch/PyTorch;Xamarin,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1
206,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,.NET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Unity 3D,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
210,Node.js;Teraform,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
211,Apache Spark;Cordova;Flutter;Hadoop;Node.js;Puppet;React Native;TensorFlow;Unity 3D,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1
212,.NET;.NET Core;Node.js,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
