uid,resp_time,course_id,due,experience,hours,location
u14,2013-03-29 19:02:02,cs65,2.0,1.0,1.0,"43.70509271,-72.28680761"
u14,2013-03-30 00:08:36,cs 65,2.0,1.0,1.0,"43.70468907,-72.28757152"
u14,2013-04-01 20:03:43,vs 65,1.0,2.0,7.0,"43.70695164,-72.28693335"
u14,2013-04-02 01:50:09,cs 27,1.0,1.0,6.0,"43.70589684,-72.28776778"
u14,2013-04-03 00:21:56,cs 20,1.0,1.0,5.0,"43.70481251,-72.28700429"
u14,2013-04-04 02:03:04,cs 20,2.0,1.0,2.0,"43.70586941,-72.2877982"
u14,2013-04-03 22:01:34,cs 65,2.0,2.0,1.0,"43.7049256,-72.28632081"
u14,2013-04-05 01:35:44,cs 27,2.0,1.0,3.0,"43.70645868,-72.28793942"
u14,2013-04-05 01:35:24,cs 20,2.0,1.0,3.0,"43.70645868,-72.28793942"
u14,2013-04-05 01:34:42,cs 65,2.0,1.0,3.0,"43.70645868,-72.28793942"
u14,2013-04-06 01:21:24,cs 65,2.0,3.0,1.0,"43.70491826,-72.28692692"
u14,2013-04-09 02:52:43,cs 65,1.0,1.0,5.0,"43.70477259,-72.28698419"
u14,2013-04-09 02:52:58,cs 27,1.0,1.0,5.0,"43.70477259,-72.28698419"
u14,2013-04-10 02:06:38,cs20,1.0,2.0,9.0,"43.70590328,-72.28775889"
u14,2013-04-10 21:04:07,cs65,2.0,4.0,1.0,"43.70498939,-72.28699053"
u14,2013-04-11 22:48:09,cs65,2.0,2.0,2.0,"43.70511041,-72.28702345"
u14,2013-04-13 00:00:16,cs65,2.0,1.0,2.0,"43.70460577,-72.28671025"
u14,2013-04-17 00:31:02,cs 20,1.0,2.0,5.0,"43.70592555,-72.28768582"
u14,2013-04-15 20:55:24,cs65,1.0,2.0,9.0,"43.70545641,-72.28669002"
u14,2013-04-16 00:48:44,cs65,1.0,3.0,7.0,"43.70600151,-72.28720407"
u14,2013-04-18 00:50:01,cs 65,2.0,1.0,2.0,"43.70479742,-72.28842704"
u15,2013-04-03 19:14:17,cs65,2.0,1.0,4.0,"43.70428082,-72.28776631"
u15,2013-03-29 08:36:44,cs65,2.0,1.0,2.0,Unknown
u15,2013-03-29 08:36:42,EARS3,2.0,1.0,1.0,"43.70570121,-72.29643446"
u15,2013-03-30 03:51:49,cs65,2.0,1.0,1.0,"43.70402365,-72.29064013"
u15,2013-04-03 21:13:36,ears3,2.0,1.0,1.0,"43.70306492,-72.29079677"
u15,2013-04-03 18:02:31,span3,2.0,1.0,1.0,"43.70428082,-72.28776631"
u15,2013-04-08 04:29:23,span3,2.0,1.0,1.0,"41.49583437,-71.45812765"
u15,2013-04-08 04:29:24,cs65,2.0,1.0,2.0,"41.49583437,-71.45812765"
u15,2013-04-08 18:05:20,span3,2.0,1.0,1.0,"43.70384519,-72.28717248"
u15,2013-04-09 06:14:32,ears3,1.0,1.0,2.0,Unknown
u15,2013-04-09 06:14:21,cs65,2.0,1.0,1.0,Unknown
u15,2013-04-12 18:28:04,span3,1.0,1.0,2.0,Unknown
u15,2013-04-10 18:05:12,span3,1.0,1.0,2.0,"43.70578547,-72.28703541"
u15,2013-04-10 19:11:06,cs65,1.0,1.0,4.0,"43.70578547,-72.28703541"
u15,2013-04-16 01:27:40,cs65,2.0,1.0,9.0,"43.7052318,-72.29189415"
u15,2013-04-09 17:54:30,span3,2.0,1.0,1.0,"43.70423505,-72.29046602"
u15,2013-04-16 01:27:53,ears3,1.0,1.0,3.0,"43.7052318,-72.29189415"
u15,2013-04-12 19:12:08,cs65,2.0,1.0,1.0,Unknown
u15,2013-04-17 02:59:19,ears3,1.0,1.0,3.0,"43.70591041,-72.28826857"
u15,2013-04-15 18:03:52,span3,2.0,1.0,1.0,"43.70808053,-72.28506786"
u15,2013-04-19 18:59:07,span3,1.0,1.0,2.0,Unknown
u15,2013-04-19 18:59:25,cs65,2.0,1.0,3.0,Unknown
u16,2013-03-27 20:04:34,CS65,2.0,3.0,1.0,"43.70282146,-72.29016985"
u16,2013-03-28 23:30:47,CS 65,2.0,3.0,5.0,"43.70535842,-72.28724963"
u16,2013-03-29 22:01:28,cs 65,2.0,3.0,5.0,"43.70724486,-72.28721651"
u16,2013-03-31 00:00:45,cs 27,2.0,1.0,3.0,"43.70708361,-72.29096924"
u16,2013-04-02 03:04:50,cs 27,1.0,4.0,4.0,"43.70358976,-72.29054215"
u16,2013-04-03 19:43:56,CS 65,2.0,3.0,3.0,"43.70450379,-72.28884561"
u16,2013-04-04 22:00:48,CS65,2.0,3.0,4.0,"43.70393687,-72.29111144"
u16,2013-04-05 22:20:47,CS 65,2.0,3.0,4.0,Unknown
u16,2013-04-08 21:19:07,CS65,1.0,3.0,6.0,"43.70411779,-72.28816375"
u16,2013-04-09 04:01:20,CS27,1.0,4.0,6.0,"43.70592306,-72.28973692"
u16,2013-04-13 00:00:37,CS65,2.0,3.0,4.0,"43.70364199,-72.29076278"
u16,2013-04-11 01:37:42,CS65,2.0,3.0,3.0,"43.70474513,-72.28856577"
u16,2013-04-16 02:39:12,cs27,1.0,4.0,1.0,"43.70346314,-72.29066114"
u16,2013-04-12 02:28:58,CS65,2.0,3.0,4.0,"43.70673215,-72.28793418"
u16,2013-04-12 02:28:58,CS27,1.0,1.0,6.0,"43.70687381,-72.28768281"
u16,2013-04-16 02:38:39,CS65,1.0,3.0,12.0,"43.70346314,-72.29066114"
u16,2013-04-18 02:34:42,CS65,2.0,3.0,1.0,"43.70692473,-72.28664094"
u16,2013-04-20 16:46:52,CS65,2.0,1.0,5.0,"43.70381863,-72.2910568"
u16,2013-04-23 16:18:11,CS27,2.0,4.0,6.0,"43.70373954,-72.29185672"
u16,2013-04-24 02:23:17,wild edibles pe class,2.0,2.0,1.0,"43.70373225,-72.29023983"
u16,2013-04-23 16:17:30,CS65,1.0,1.0,12.0,"43.70374144,-72.29182531"
u16,2013-04-26 20:05:34,CS65,2.0,5.0,6.0,"43.70381392,-72.29084126"
u16,2013-04-30 00:00:39,CS65,1.0,1.0,12.0,"43.70688467,-72.28732802"
u16,2013-05-02 01:40:52,CS65,2.0,1.0,1.0,"43.70545477,-72.28953205"
u16,2013-05-07 16:12:48,CS65,2.0,1.0,7.0,"43.70534496,-72.29049134"
u16,2013-05-04 00:42:16,CS65,2.0,1.0,1.0,"43.70376968,-72.29023129"
u16,2013-05-07 16:13:14,CS27,1.0,1.0,5.0,"43.70534496,-72.29049134"
