uid,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
u20,2013-04-09 21:40:08,2.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,
u22,2013-04-08 21:42:29,2.0,2,5,2.0,2.0,2.0,3.0,1.0,3.0,3.0,
u22,2013-04-11 00:10:28,2.0,3,3,2.0,2.0,4.0,5.0,2.0,1.0,3.0,
u22,2013-04-14 21:43:56,4.0,3,3,3.0,3.0,2.0,3.0,3.0,3.0,3.0,
u23,2013-04-08 02:53:21,4.0,2,4.0,2.0,4.0,1.0,4.0,3.0,2.0,3.0,
u23,2013-04-08 21:18:19,4.0,null,3.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,
u23,2013-04-14 22:05:22,3.0,3,4.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,
u24,2013-04-13 20:57:55,3.0,4,null,3.0,3.0,4,2.0,2.0,4.0,3.0,
u24,2013-04-12 08:13:50,2.0,4,3,2.0,4.0,4,2.0,3.0,1.0,2.0,
u24,2013-04-14 09:13:06,4.0,2,2,4.0,1.0,5,2.0,2.0,2.0,4.0,
u24,2013-05-17 00:48:21,2.0,null,null,1.0,3.0,null,1.0,3.0,2.0,2.0,"43.70610596,-72.29091217"
u25,2013-04-08 22:07:37,3.0,4.0,5.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,
u25,2013-04-11 01:54:40,1.0,3.0,3.0,1.0,4.0,2.0,5.0,3.0,1.0,3.0,
u27,2013-04-08 18:53:07,2.0,4.0,4.0,1.0,4.0,2.0,3.0,3.0,4.0,3.0,
u27,2013-04-15 10:19:41,3.0,5.0,2.0,1.0,2.0,4.0,1.0,3.0,5.0,3.0,
u27,2013-04-17 09:18:51,3.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,
u27,2013-04-17 20:58:08,4.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,3.0,2.0,
u30,2013-04-09 00:51:55,1.0,4.0,3.0,1.0,4.0,1.0,4.0,4.0,1.0,3.0,
