uid,resp_time,level,location
u10,2013-03-31 16:31:29,1.0,"43.7026033,-72.28671544"
u10,2013-03-31 17:47:31,4.0,"43.70268506,-72.2871776"
u10,2013-04-01 03:35:10,1.0,"43.70344498,-72.28622861"
u10,2013-04-03 05:55:20,4.0,Unknown
u10,2013-04-01 08:50:52,4.0,"43.70241112,-72.28788985"
u10,2013-04-01 16:32:35,4.0,"43.70241112,-72.28788985"
u10,2013-04-03 05:55:19,4.0,Unknown
u10,2013-04-03 00:01:46,1.0,"43.70679334,-72.28767766"
u10,2013-04-03 06:19:50,5.0,Unknown
u10,2013-04-04 01:58:01,4.0,"43.70613435,-72.28844824"
u10,2013-04-04 18:50:07,1.0,"43.70168352,-72.28807511"
u10,2013-04-04 08:01:51,1.0,"43.70168352,-72.28807511"
u10,2013-04-04 17:48:38,1.0,"43.70168352,-72.28807511"
u10,2013-04-05 01:30:58,1.0,"43.70173422,-72.28775943"
u10,2013-04-05 00:11:45,2.0,"43.70785919,-72.28512608"
u10,2013-04-05 08:04:55,1.0,"43.70173422,-72.28775943"
u10,2013-04-05 16:35:56,1.0,"43.70173422,-72.28775943"
u10,2013-04-06 00:15:46,2.0,"43.70173422,-72.28775943"
u10,2013-04-06 02:00:50,4.0,"43.70173422,-72.28775943"
u10,2013-04-06 07:47:38,4.0,"43.70464259,-72.28795732"
u10,2013-04-07 01:59:22,1.0,"43.70336268,-72.28777469"
u10,2013-04-06 16:45:23,4.0,"43.70464259,-72.28795732"
u10,2013-04-07 17:51:19,4.0,"43.70336268,-72.28777469"
u10,2013-04-07 08:05:12,1.0,"43.70336268,-72.28777469"
u10,2013-04-08 02:17:43,1.0,"43.70238375,-72.28772441"
u10,2013-04-08 04:25:53,5.0,"43.70238375,-72.28772441"
u10,2013-04-08 05:50:48,4.0,"43.70238375,-72.28772441"
u10,2013-04-08 16:30:31,4.0,"43.70238375,-72.28772441"
u10,2013-04-09 02:14:23,4.0,"43.70238375,-72.28772441"
