uid,location,negative,nevent,pevent,positive,resp_time
u53,"43.70550315,-72.2829922",2.0,,friend's birthday dinner,4.0,2013-04-23 00:49:02
u53,"43.70574235,-72.28345072",5.0,,dinner,3.0,2013-04-25 01:04:03
u53,"43.70602975,-72.28324643",7.0,,figured out thesis advisor,7.0,2013-04-28 08:07:40
u53,"43.70551305,-72.28309919",4.0,long day,good lunch,4.0,2013-04-27 04:10:34
u53,"43.70551276,-72.28309075",5.0,allnighter,,2.0,2013-05-01 09:49:03
u53,"43.70542341,-72.28319396",4.0,,shopping,4.0,2013-05-20 20:21:47
u54,"43.70387569,-72.29574327",4.0,Protest,Get together,4.0,2013-04-20 17:26:43
u54,"43.70378376,-72.29569602",2.0,Math homework,Carnival,3.0,2013-05-05 07:18:40
u56,"43.71653801,-72.30902725",5.0,"if you meant negative event, finding out I did something wrong at work",drinks with friends,6.0,2013-04-19 11:08:55
u56,"43.71672365,-72.30903137",4.0,relationship talk,sex,6.0,2013-04-25 00:53:47
u56,"43.70978582,-72.3084436",1.0,na,dinner with friend,6.0,2013-04-23 01:25:41
u56,"43.01457325,-72.34845621",7.0,got my winter heating bill,,2.0,2013-04-27 05:10:38
u56,"43.71682074,-72.30917075",3.0,not finishing assignment,frisbee,5.0,2013-04-30 04:56:35
u58,"43.70608079,-72.2835322",7.0,chat,chat,5.0,2013-04-20 17:22:04
u58,"43.7061593,-72.2835932",7.0,,,4.0,2013-04-21 18:29:15
u58,"43.70627659,-72.28339373",7.0,driving,dating,1.0,2013-04-22 01:52:44
u58,"43.70626759,-72.28322431",7.0,meeting,gaming,5.0,2013-04-23 02:38:50
u58,"43.7057195,-72.28324992",7.0,coding,dating,7.0,2013-04-26 06:59:16
u58,"43.70574898,-72.2851523",4.0,meeting,chatting,3.0,2013-04-28 05:40:17
u58,"43.70615735,-72.28314889",7.0,quarreling,chatting,4.0,2013-05-01 08:46:51
u58,"43.70595953,-72.28272157",7.0,coding,dating,6.0,2013-05-02 08:05:54
u58,"43.70574671,-72.28500165",4.0,meeting,meeting,6.0,2013-05-04 06:20:53
u58,"43.70618602,-72.28339878",7.0,coding,eating,1.0,2013-05-11 02:01:08
u58,"43.70574671,-72.28500165",4.0,meeting,meeting,6.0,2013-05-04 06:22:32
u58,"43.70647378,-72.28294033",1.0,coding,dating,7.0,2013-05-13 03:45:20
u58,"43.70622039,-72.2832827",7.0,helping code,dating,7.0,2013-05-21 19:10:08
u58,"43.70600359,-72.28320712",7.0,meeting,dating,7.0,2013-05-22 19:00:32
u58,"43.70622819,-72.2833321",7.0,meeting,dating,7.0,2013-05-28 22:15:57
u58,"43.70534904,-72.2834498",7.0,coding,dating,7.0,2013-06-01 03:30:41
u58,"43.70603361,-72.28349513",7.0,coding,dating,7.0,2013-05-27 23:54:56
u58,"43.70627797,-72.28329051",7.0,presentation,dating,7.0,2013-05-30 23:18:06
u58,"43.7064518,-72.28345807",7.0,gaming,bowling,5.0,2013-06-01 23:04:04
u59,"43.70557967573404,-72.2908834554255",2.0,dimensions,dimensions,4.0,2013-04-19 00:01:35
u59,"43.7041727732867,-72.28752591647208",3.0,meetings,dimensions,7.0,2013-04-19 15:58:33
u59,"43.70430533308536,-72.2877337038517",4.0,meetings,dimensions,7.0,2013-04-19 17:51:53
u59,"43.70550130493939,-72.2784467227757",5.0,dimensions protest,seeing my prospies and partying,7.0,2013-04-21 09:44:20
u59,"43.707058327272534,-72.28580041788518",3.0,not finishing my homework completely,getting homework done,4.0,2013-04-22 17:59:16
u59,"43.703413414768875,-72.28902460075915",5.0,stupid all nighter,finishes my lab and did well on my midterm,3.0,2013-04-24 23:06:35
u59,Unknown,2.0,got an a- on a test,going out at night,6.0,2013-04-28 01:39:01
u59,"43.70556521695107,-72.2903553955257",7.0,the jawbone doesn't work and the lab made me do an all nighter,I won a jawbone,5.0,2013-05-01 07:00:38
u59,"43.70559212286025,-72.29091203771532",1.0,,,1.0,2013-05-20 20:47:28
u59,"43.705461281351745,-72.2910166438669",2.0,I didn't get enough sleep,I finished my essay,5.0,2013-05-21 09:15:16
u59,"43.705720701254904,-72.29104246012866",3.0,I didn't get much work done,I took a three hour nap,3.0,2013-05-22 18:59:37
u59,"43.70550733990967,-72.2909749019891",3.0,I need to code the graphing of the data,the notifications work perfectly,5.0,2013-05-27 19:11:30
u59,Unknown,1.0,some things don't work,our app is going well,5.0,2013-05-26 05:35:22
u59,"43.70569061022252,-72.2908440604806",3.0,fell asleep twice on my German final,finished with freshman year,6.0,2013-05-31 18:10:48
u59,"43.705530599690974,-72.29089292697608",3.0,was sleep deprived all day,finished with both comp sci courses,6.0,2013-05-30 16:13:33
u59,"29.902878901921213,-90.02735710702837",3.0,left my jawbone in new york,came back home,7.0,2013-06-02 21:32:24
